,USER_ID,BIRTHDAY,SEX
0,1,1957-06-25,Male
1,2,1979-07-27,Female
2,3,1976-12-15,Male
3,4,1958-12-09,Male
4,5,1985-12-06,Male
5,6,1963-04-22,Female
6,7,1988-05-20,Male
7,8,1993-01-14,Male
8,9,1975-04-05,Male
9,10,1971-08-10,Female
10,11,1961-12-22,Male
11,12,1966-01-31,Male
12,13,1988-08-25,Male
13,14,1990-11-22,Male
14,15,1992-03-31,Female
15,16,1993-05-07,Male
16,17,1968-06-19,Female
17,18,1959-07-01,Female
18,19,1990-02-10,Female
19,20,1951-12-07,Male
20,21,1993-05-21,Female
21,22,1957-02-12,Male
22,23,1978-04-11,Female
23,24,1956-02-01,Female
24,25,1971-04-09,Female
25,26,1957-12-07,Female
26,27,1977-02-01,Female
27,28,1951-06-22,Female
28,29,1980-05-08,Female
29,30,1967-01-08,Female
30,31,1968-12-13,Male
31,32,1966-07-12,Male
32,33,1955-12-04,Female
33,34,1963-11-21,Female
34,35,1963-04-14,Female
35,36,1971-07-27,Male
36,37,1955-08-09,Female
37,38,1955-02-15,Male
38,39,1970-10-22,Male
39,40,1956-11-01,Male
40,41,1991-07-31,Male
41,42,1972-09-13,Male
42,43,1977-12-05,Female
43,44,1992-07-16,Female
44,45,1952-01-26,Female
45,46,1952-03-08,Female
46,47,1951-10-22,Female
47,48,1958-10-25,Male
48,49,1991-09-29,Female
49,50,1973-08-03,Female
50,51,1970-06-01,Male
51,52,1959-02-20,Female
52,53,1957-07-08,Male
53,54,1962-12-19,Female
54,55,1973-12-02,Male
55,56,1968-04-23,Female
56,57,1951-12-16,Female
57,58,1956-04-11,Male
58,59,1972-11-04,Male
59,60,1979-11-20,Male
60,61,1990-08-25,Male
61,62,1982-02-05,Male
62,63,1980-06-14,Male
63,64,1953-04-22,Male
64,65,1966-11-25,Male
65,66,1974-08-17,Female
66,67,1978-05-22,Female
67,68,1978-05-22,Male
68,69,1977-10-14,Female
69,70,1969-10-09,Female
70,71,1966-06-27,Female
71,72,1959-12-02,Female
72,73,1959-10-01,Male
73,74,1974-07-02,Female
74,75,1984-05-23,Male
75,76,1990-03-03,Female
76,77,1984-09-15,Female
77,78,1954-06-30,Female
78,79,1980-12-15,Male
79,80,1987-08-29,Female
80,81,1990-09-27,Male
81,82,1963-08-25,Female
82,83,1961-12-02,Male
83,84,1987-04-30,Female
84,85,1983-07-30,Male
85,86,1983-05-29,Male
86,87,1978-03-12,Female
87,88,1990-01-18,Male
88,89,1983-03-23,Female
89,90,1981-03-02,Female
90,91,1991-05-21,Female
91,92,1973-08-10,Female
92,93,1969-11-07,Female
93,94,1961-06-19,Female
94,95,1988-11-25,Female
95,96,1979-02-16,Female
96,97,1957-04-13,Female
97,98,1976-10-12,Female
98,99,1958-02-04,Female
99,100,1979-10-09,Male
