USER_ID,BIRTHDAY,SEX
1,1957-06-25,Male
2,1979-07-27,Female
3,1976-12-15,Male
4,1958-12-09,Male
5,1985-12-06,Male
6,1963-04-22,Female
7,1988-05-20,Male
8,1993-01-14,Male
9,1975-04-05,Male
10,1971-08-10,Female
11,1961-12-22,Male
12,1966-01-31,Male
13,1988-08-25,Male
14,1990-11-22,Male
15,1992-03-31,Female
16,1993-05-07,Male
17,1968-06-19,Female
18,1959-07-01,Female
19,1990-02-10,Female
20,1951-12-07,Male
21,1993-05-21,Female
22,1957-02-12,Male
23,1978-04-11,Female
24,1956-02-01,Female
25,1971-04-09,Female
26,1957-12-07,Female
27,1977-02-01,Female
28,1951-06-22,Female
29,1980-05-08,Female
30,1967-01-08,Female
31,1968-12-13,Male
32,1966-07-12,Male
33,1955-12-04,Female
34,1963-11-21,Female
35,1963-04-14,Female
36,1971-07-27,Male
37,1955-08-09,Female
38,1955-02-15,Male
39,1970-10-22,Male
40,1956-11-01,Male
41,1991-07-31,Male
42,1972-09-13,Male
43,1977-12-05,Female
44,1992-07-16,Female
45,1952-01-26,Female
46,1952-03-08,Female
47,1951-10-22,Female
48,1958-10-25,Male
49,1991-09-29,Female
50,1973-08-03,Female
51,1970-06-01,Male
52,1959-02-20,Female
53,1957-07-08,Male
54,1962-12-19,Female
55,1973-12-02,Male
56,1968-04-23,Female
57,1951-12-16,Female
58,1956-04-11,Male
59,1972-11-04,Male
60,1979-11-20,Male
61,1990-08-25,Male
62,1982-02-05,Male
63,1980-06-14,Male
64,1953-04-22,Male
65,1966-11-25,Male
66,1974-08-17,Female
67,1978-05-22,Female
68,1978-05-22,Male
69,1977-10-14,Female
70,1969-10-09,Female
71,1966-06-27,Female
72,1959-12-02,Female
73,1959-10-01,Male
74,1974-07-02,Female
75,1984-05-23,Male
76,1990-03-03,Female
77,1984-09-15,Female
78,1954-06-30,Female
79,1980-12-15,Male
80,1987-08-29,Female
81,1990-09-27,Male
82,1963-08-25,Female
83,1961-12-02,Male
84,1987-04-30,Female
85,1983-07-30,Male
86,1983-05-29,Male
87,1978-03-12,Female
88,1990-01-18,Male
89,1983-03-23,Female
90,1981-03-02,Female
91,1991-05-21,Female
92,1973-08-10,Female
93,1969-11-07,Female
94,1961-06-19,Female
95,1988-11-25,Female
96,1979-02-16,Female
97,1957-04-13,Female
98,1976-10-12,Female
99,1958-02-04,Female
100,1979-10-09,Male
